Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_ON649699	Nohelivirus yangshanense	Nohelivirus	NA	Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_ON649700	Senitvirus yangshanense	Senitvirus	NA	Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_ON649698	Sweetvirus yangshanense	Sweetvirus	NA	Yanlukaviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AM419438	Beejeyvirus BJ1	Beejeyvirus	NA	Graaviviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ332141	Seejivirus CGphi46	Seejivirus	NA	Graaviviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334526	Dpdavirus HRTV29	Dpdavirus	NA	Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG550112	Retbasiphovirus HFTV1	Retbasiphovirus	NA	Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC292023	Saldibavirus HRTV4	Saldibavirus	NA	Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334527	Hatrivirus HATV3	Hatrivirus	NA	Pyrstoviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC117378	Lonfivirus HSTV1	Lonfivirus	NA	Shortaselviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_ON649702	Aobingvirus yangshanense	Aobingvirus	NA	Aoguangviridae	Magrovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH674343	Metforvirus Drs3	Metforvirus	NA	Anaerodiviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AF065411	Psimunavirus psiM2	Psimunavirus	NA	Leisingerviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_OP413838	Kisinvirus pescaderoense	Kisinvirus	NA	Ahpuchviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_OP880252	Kukulkanvirus guaymasense	Kukulkanvirus	NA	Ekchuahviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_OP880253	Kukulkanvirus mexicoense	Kukulkanvirus	NA	Ekchuahviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC292029	Hacavirus HCTV1	Hacavirus	NA	Druskaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC117377	Tredecimvirus HVTV1	Tredecimvirus	NA	Druskaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY190604	Haloferacalesvirus HF1	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334513	Haloferacalesvirus HJTV2	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC292022	Haloferacalesvirus HRTV5	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC292020	Haloferacalesvirus HRTV8	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334496	Haloferacalesvirus HRTV10	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334501	Haloferacalesvirus HSTV4	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN901521	Haloferacalesvirus Serpecor1	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334521	Laminvirus HRTV25	Laminvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC117376	Mincapvirus HSTV2	Mincapvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334522	Minorvirus HRTV27	Minorvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC292026	Hagravirus HGTV1	Hagravirus	NA	Halomagnusviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ334525	Eilatmyovirus HATV2	Eilatmyovirus	NA	Soleiviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_FJ373894	Agtrevirus AG3	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LC373201	Agtrevirus EM4	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK509462	Agtrevirus MK13	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT078988	Agtrevirus P46FS4	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX181829	Agtrevirus SKML39	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HE600015	Limestonevirus limestone	Limestonevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KJ716335	Limestonevirus RC2014	Limestonevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074474	Kuttervirus aagejoakim	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074471	Kuttervirus allotria	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074477	Kuttervirus barely	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074472	Kuttervirus bering	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY787213	Kuttervirus BSP101	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN593240	Kuttervirus CBA120	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP797973	Kuttervirus Det7	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074475	Kuttervirus dinky	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX128257	Kuttervirus ECML4	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG748547	Kuttervirus EP75	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG383452	Kuttervirus FEC14	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX245012	Kuttervirus GG32	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074470	Kuttervirus heyday	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR296692	Kuttervirus kv38	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074480	Kuttervirus maane	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF669653	Kuttervirus marshall	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
